ID	Home_Team	Home_Formation	Home_Score	Home_xG	Home_Yellow_Cards	Home_Red_Cards	Away_Team	Away_Formation	Away_Score	Away_xG	Away_Yellow_Cards	Away_Red_Cards	Gls	Ast	PK	Sh	SoT	CrdY	CrdR	Touches	Press	Tkl	Int	Blocks	xG_Expected	npxG_Expected	xA_Expected	GCA_SCA	Cmp_Passes	Att_Passes	Cmp_percent_Passes	Prog_Passes	Carries_Carries	Prog_Carries	Succ_Dribbles	Att_Dribbles	Cmp_Total	Att_Total	Cmp_percent_Total	TotDist_Total	PrgDist_Total	Cmp_Short	Att_Short	Cmp_percent_Short	Cmp_Medium	Att_Medium	Cmp_percent_Medium	Cmp_Long	Att_Long	Cmp_percent_Long	xA	KP	Final_Third	PPA	CrsPA	Prog	Att	Live_Pass_Types	Dead_Pass_Types	FK_Pass_Types	TB_Pass_Types	Press_Pass_Types	Sw_Pass_Types	Crs_Pass_Types	CK_Pass_Types	In_Corner_Kicks	Out_Corner_Kicks	Str_Corner_Kicks	Cmp_Outcomes	Off_Outcomes	Out_Outcomes	Int_Outcomes	Blocks_Outcomes	Tkl_Tackles	TklW_Tackles	Def.3rd_Tackles	Mid.3rd_Tackles	Att.3rd_Tackles	Tkl_Vs_Dribbles	Att_Vs_Dribbles	Tkl_percent_Vs_Dribbles	Past_Vs_Dribbles	Press_Pressures	Succ_Pressures	X_percent_Pressures	Def.3rd_Pressures	Mid.3rd_Pressures	Att.3rd_Pressures	Blocks_Blocks	Sh_Blocks	ShSv_Blocks	Pass_Blocks	Tkl.Int	Clr	Err	Touches_Touches	Def.Pen_Touches	Def.3rd_Touches	Mid.3rd_Touches	Att.3rd_Touches	Att.Pen_Touches	Live_Touches	Succ_percent_Dribbles	Player_NumPl_Dribbles	Megs_Dribbles	TotDist_Carries	PrgDist_Carries	Final_Third_Carries	CPA_Carries	Mis_Carries	Dis_Carries	Targ_Receiving	Rec_Receiving	Rec_percent_Receiving	Prog_Receiving	X2CrdY	Fls	Fld	Off	Crs	TklW	PKwon	PKcon	OG	Recov	Won_Aerial_Duels	Lost_Aerial_Duels	Won_percent_Aerial_Duels	SoTA_Shot_Stopping	GA_Shot_Stopping	Saves_Shot_Stopping	Save_percent_Shot_Stopping	PSxG_Shot_Stopping	Cmp_Launched	Att_Launched	Cmp_percent_Launched	Thr_Passes	Launch_percent_Passes	AvgLen_Passes	Att_Goal_Kicks	Launch_percent_Goal_Kicks	Opp_Crosses	Stp_Crosses	Stp_percent_Crosses	Player_NumOPA_Sweeper	AvgDist_Sweeper	Team.y	Result	GF	GA	Opponent	xG	xGA	Poss	Formation	MatchYear
2017-08-12	Chelsea	3-4-3	2	1.3	5	2	Burnley	4-4-1-1	3	0.8	3	0	2	2	0	19	6	4	2	668	97	13	9	8	1.3	1.3	1.1	4	466	569	81.9	36	431	82	10	13	466	569	81.9	9046	2581	199	220	90.5	185	211	87.7	74	117	63.2	1.1	14	34	6	1	36	569	529	40	11	1	43	14	14	8	3	4	0	466	2	6	12	11	13	8	6	5	2	4	9	44.4	5	97	40	41.2	28	44	25	8	2	0	6	22	20	0	668	55	211	303	207	24	628	76.9	10	1	2658	1577	20	4	20	5	536	466	86.9	36	1	15	13	3	14	8	0	0	0	92	21	31	40.4	5	3	2	40	1.2	4	17	23.5	6	41.2	39.8	4	75	6	0	0	3	27.8	Chelsea	L	2	3	Burnley	1.3	0.8	63	3-4-3	2018
2017-08-20	Tottenham Hotspur	4-3-2-1	1	0.6	4	0	Chelsea	3-5-1-1	2	0.8	3	0	2	1	0	10	2	3	0	449	144	31	5	23	0.8	0.8	0.7	3	210	309	68	17	240	25	12	21	210	309	68	4827	1981	65	82	79.3	96	119	80.7	46	98	46.9	0.7	9	14	7	2	17	309	274	35	13	2	55	13	10	3	1	2	0	210	0	7	0	9	31	20	18	11	2	13	34	38.2	21	144	49	34	77	56	11	23	6	0	17	36	41	1	449	83	225	166	85	15	416	57.1	14	0	1258	703	6	1	7	12	254	210	82.7	25	0	22	16	0	10	20	0	0	1	92	26	21	55.3	5	1	5	80	0.4	8	25	32	6	65.4	50.6	9	88.9	12	2	16.7	0	12.8	Chelsea	W	2	1	Tottenham	0.8	0.6	32	3-5-1-1	2018
2017-08-27	Chelsea	3-4-3	2	1.1	2	0	Everton	3-4-3	0	0.6	2	0	2	2	0	18	7	2	0	738	146	14	5	10	1.1	1.1	0.9	3	528	630	83.8	43	491	67	17	31	528	630	83.8	10448	3143	196	221	88.7	238	267	89.1	84	125	67.2	0.9	15	40	8	1	43	630	583	47	8	0	106	12	13	6	2	1	0	528	0	6	8	8	14	7	5	5	4	5	14	35.7	9	146	38	26	30	73	43	10	3	0	7	19	24	0	738	70	223	373	188	27	692	54.8	20	1	2822	1607	12	9	8	7	588	528	89.8	49	0	13	11	0	13	7	0	0	0	102	15	19	44.1	0	0	0	NA	0	7	15	46.7	6	30	35.3	6	50	6	1	16.7	1	17.2	Chelsea	W	2	0	Everton	1.1	0.6	56	3-4-3	2018
2017-09-09	Leicester City	4-4-2	1	1.6	1	0	Chelsea	3-4-3	2	1.5	0	0	2	2	0	17	6	0	0	693	130	26	17	16	1.5	1.5	1.4	4	456	557	81.9	55	468	62	12	21	456	557	81.9	9203	2724	168	192	87.5	213	239	89.1	69	104	66.3	1.4	14	36	15	2	55	557	510	47	11	2	98	23	12	9	2	4	0	456	2	6	23	15	26	15	11	13	2	13	22	59.1	9	130	54	41.5	53	54	23	16	2	0	14	43	24	0	693	61	231	327	187	27	646	57.1	13	0	2407	1547	21	6	8	14	531	456	85.9	55	0	8	11	3	12	15	0	1	0	90	13	20	39.4	1	1	1	100	1	3	13	23.1	8	44	41.6	7	28.6	14	1	7.1	0	12.7	Chelsea	W	2	1	Leicester City	1.5	1.6	58	3-4-3	2018
2017-09-17	Chelsea	3-4-3	0	0.8	2	1	Arsenal	3-4-3	0	1.4	3	0	0	0	0	13	4	2	1	700	189	18	16	18	0.8	0.8	0.7	0	442	575	76.9	38	386	45	5	19	442	575	76.9	9551	2775	129	166	77.7	215	248	86.7	86	135	63.7	0.7	9	31	6	1	38	575	517	58	17	1	93	17	13	5	1	1	0	442	4	9	15	18	18	14	9	6	3	4	7	57.1	3	189	60	31.7	77	80	32	18	4	0	14	34	21	1	700	72	243	339	158	18	645	26.3	7	0	2313	1175	10	6	14	6	536	442	82.5	38	0	11	19	4	13	14	0	0	0	120	21	20	51.2	2	0	2	100	0.1	5	18	27.8	0	36.4	39.8	9	66.7	6	0	0	0	5	Chelsea	D	0	0	Arsenal	0.8	1.4	52	3-4-3	2018
2017-09-23	Stoke City	3-4-3	0	0.6	2	0	Chelsea	3-4-3	4	1.4	2	0	4	3	0	7	4	2	0	708	175	29	7	24	1.4	1.4	1.1	4	485	580	83.6	25	441	28	15	20	485	580	83.6	9208	3397	200	228	87.7	229	250	91.6	49	84	58.3	1.1	5	24	9	0	25	580	549	31	5	2	77	5	4	0	0	0	0	485	1	9	17	8	29	19	21	7	1	12	26	46.2	14	175	58	33.1	81	65	29	24	4	0	20	36	24	0	708	82	290	329	133	16	677	75	15	1	2091	1078	12	2	12	18	571	485	84.9	25	0	14	7	1	4	19	0	0	0	95	17	10	63	2	0	2	100	0.1	8	12	66.7	5	26.1	31	8	75	11	2	18.2	0	11	Chelsea	W	4	0	Stoke City	1.4	0.6	56	3-4-3	2018
2017-09-30	Chelsea	3-5-1-1	0	0.3	0	0	Manchester City	4-3-3	1	1.1	2	0	0	0	0	4	2	0	0	556	114	22	18	14	0.3	0.3	0.3	0	342	442	77.4	24	357	32	6	11	342	442	77.4	6787	2448	137	157	87.3	154	176	87.5	47	89	52.8	0.3	3	20	5	1	24	442	389	53	13	0	38	18	10	4	1	0	0	342	7	6	25	12	22	17	14	6	2	4	10	40	6	114	34	29.8	46	55	13	14	6	1	8	40	22	1	556	86	246	230	107	13	507	54.5	6	0	1685	905	9	1	13	15	430	342	79.5	24	0	9	16	8	10	17	0	0	0	70	12	18	40	5	1	4	80	0.9	5	19	26.3	8	51.9	48	9	55.6	6	0	0	0	10.7	Chelsea	L	0	1	Manchester City	0.3	1.1	39	3-5-1-1	2018
2017-10-14	Crystal Palace	4-4-2	2	1.5	2	0	Chelsea	3-4-3	1	1	1	0	1	1	0	16	5	1	0	759	200	33	11	12	1	1	0.7	2	493	622	79.3	46	481	61	13	28	493	622	79.3	10147	3335	180	204	88.2	210	259	81.1	92	130	70.8	0.7	13	47	6	1	46	622	573	49	7	0	60	22	12	8	1	6	1	493	6	7	29	16	33	13	16	14	3	13	31	41.9	18	200	63	31.5	82	79	39	12	4	0	8	44	16	0	759	82	269	354	203	16	710	46.4	15	1	2841	1699	19	2	17	11	588	493	83.8	46	0	8	9	6	12	13	0	0	1	124	27	8	77.1	5	2	4	60	1	4	7	57.1	5	23.3	35	12	0	5	0	0	1	20	Chelsea	L	1	2	Crystal Palace	1	1.5	57	3-4-3	2018
2017-10-21	Chelsea	3-4-3	4	1.5	2	0	Watford	3-4-3	2	2.2	3	0	4	3	0	13	7	2	0	628	139	23	13	21	1.5	1.5	0.4	4	394	493	79.9	34	366	57	10	15	394	493	79.9	7554	2668	170	195	87.2	160	187	85.6	57	100	57	0.4	9	25	6	1	34	493	448	45	19	2	107	12	15	6	0	1	1	394	5	11	19	8	23	16	10	10	3	8	13	61.5	5	139	47	33.8	56	56	27	21	5	0	16	36	28	0	628	68	208	314	148	18	584	66.7	10	2	2165	1231	16	3	15	14	478	394	82.4	34	0	14	19	6	15	16	0	0	0	83	28	21	57.1	5	2	3	60	1.3	3	9	33.3	2	30.8	38.6	6	16.7	12	0	0	0	14	Chelsea	W	4	2	Watford	1.5	2.2	52	3-4-3	2018
2017-10-28	Bournemouth	3-4-1-2	0	0.7	2	0	Chelsea	3-4-3	1	1.9	0	0	1	1	0	19	5	0	0	799	157	22	18	10	1.9	1.9	1.8	2	593	691	85.8	52	484	63	3	5	593	691	85.8	11664	3382	251	266	94.4	236	266	88.7	93	133	69.9	1.8	16	38	19	4	52	691	658	33	5	1	81	22	15	5	0	2	0	593	3	13	28	4	22	15	12	8	2	12	20	60	8	157	57	36.3	56	71	30	10	3	0	7	40	17	0	799	72	251	365	232	37	767	60	3	1	2825	1678	20	5	16	6	676	593	87.7	52	0	5	6	6	15	15	0	0	0	88	23	18	56.1	1	0	1	100	0.1	3	11	27.3	4	23.3	37.6	5	80	4	0	0	0	10.3	Chelsea	W	1	0	Bournemouth	1.9	0.7	57	3-4-3	2018
