xG,xGA,Poss,Touches,Press,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xA_Expected,Att_Passes,Cmp_percent_Passes,Prog_Passes,Prog_Carries,Succ_Dribbles,Att_Dribbles,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Att_Short,Cmp_percent_Short,Att_Medium,Cmp_percent_Medium,Att_Long,Cmp_percent_Long,PPA,CrsPA,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Press_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,CK_Pass_Types,Int_Outcomes,Blocks_Outcomes,Tkl_Tackles,TklW_Tackles,Def.3rd_Tackles,Mid.3rd_Tackles,Att.3rd_Tackles,Att_Vs_Dribbles,Tkl_percent_Vs_Dribbles,Past_Vs_Dribbles,Press_Pressures,Succ_Pressures,Def.3rd_Pressures,Mid.3rd_Pressures,Att.3rd_Pressures,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Tkl.Int,Clr,Err,Touches_Touches,Def.Pen_Touches,Def.3rd_Touches,Mid.3rd_Touches,Att.3rd_Touches,Att.Pen_Touches,Succ_percent_Dribbles,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,Won_percent_Aerial_Duels,Recov,Saves_Shot_Stopping,SoTA_Shot_Stopping,Att_Goal_Kicks,Save_percent_Shot_Stopping,Stp_percent_Crosses,SoT,GCA_SCA,Prog,TotDist_Carries,PSxG_Shot_Stopping,Opp_Crosses,AvgDist_Sweeper,Player_NumOPA_Sweeper,formation_class,win_nowin
1.3,0.8,63,668,97,13,9,8,1.3,1.3,1.1,569,81.9,36,82,10,13,81.9,9046,2581,220,90.5,211,87.7,117,63.2,6,1,529,40,11,1,43,14,14,8,12,11,13,8,6,5,2,9,44.4,5,97,40,28,44,25,2,0,6,22,20,0,668,55,211,303,207,24,76.9,1577,20,4,20,5,15,13,3,14,8,0,0,40.4,92,2,5,4,40.0,0.0,6,4,36,2658,1.2,6,27.8,3,343,0
0.8,0.6,32,449,144,31,5,23,0.8,0.8,0.7,309,68.0,17,25,12,21,68.0,4827,1981,82,79.3,119,80.7,98,46.9,7,2,274,35,13,2,55,13,10,3,0,9,31,20,18,11,2,34,38.2,21,144,49,77,56,11,6,0,17,36,41,1,449,83,225,166,85,15,57.1,703,6,1,7,12,22,16,0,10,20,0,0,55.3,92,5,5,9,80.0,16.7,2,3,17,1258,0.4,12,12.8,0,4231,1
1.1,0.6,56,738,146,14,5,10,1.1,1.1,0.9,630,83.8,43,67,17,31,83.8,10448,3143,221,88.7,267,89.1,125,67.2,8,1,583,47,8,0,106,12,13,6,8,8,14,7,5,5,4,14,35.7,9,146,38,30,73,43,3,0,7,19,24,0,738,70,223,373,188,27,54.8,1607,12,9,8,7,13,11,0,13,7,0,0,44.1,102,0,0,6,66.7,16.7,7,3,43,2822,0.0,6,17.2,1,343,1
1.5,1.6,58,693,130,26,17,16,1.5,1.5,1.4,557,81.9,55,62,12,21,81.9,9203,2724,192,87.5,239,89.1,104,66.3,15,2,510,47,11,2,98,23,12,9,23,15,26,15,11,13,2,22,59.1,9,130,54,53,54,23,2,0,14,43,24,0,693,61,231,327,187,27,57.1,1547,21,6,8,14,8,11,3,12,15,0,1,39.4,90,1,1,7,100.0,7.1,6,4,55,2407,1.0,14,12.7,0,343,1
0.8,1.4,52,700,189,18,16,18,0.8,0.8,0.7,575,76.9,38,45,5,19,76.9,9551,2775,166,77.7,248,86.7,135,63.7,6,1,517,58,17,1,93,17,13,5,15,18,18,14,9,6,3,7,57.1,3,189,60,77,80,32,4,0,14,34,21,1,700,72,243,339,158,18,26.3,1175,10,6,14,6,11,19,4,13,14,0,0,51.2,120,2,2,9,100.0,0.0,4,0,38,2313,0.1,6,5.0,0,343,0
1.4,0.6,56,708,175,29,7,24,1.4,1.4,1.1,580,83.6,25,28,15,20,83.6,9208,3397,228,87.7,250,91.6,84,58.3,9,0,549,31,5,2,77,5,4,0,17,8,29,19,21,7,1,26,46.2,14,175,58,81,65,29,4,0,20,36,24,0,708,82,290,329,133,16,75.0,1078,12,2,12,18,14,7,1,4,19,0,0,63.0,95,2,2,8,100.0,18.2,4,4,25,2091,0.1,11,11.0,0,343,1
0.3,1.1,39,556,114,22,18,14,0.3,0.3,0.3,442,77.4,24,32,6,11,77.4,6787,2448,157,87.3,176,87.5,89,52.8,5,1,389,53,13,0,38,18,10,4,25,12,22,17,14,6,2,10,40.0,6,114,34,46,55,13,6,1,8,40,22,1,556,86,246,230,107,13,54.5,905,9,1,13,15,9,16,8,10,17,0,0,40.0,70,4,5,9,80.0,0.0,2,0,24,1685,0.9,6,10.7,0,4231,0
1.0,1.5,57,759,200,33,11,12,1.0,1.0,0.7,622,79.3,46,61,13,28,79.3,10147,3335,204,88.2,259,81.1,130,70.8,6,1,573,49,7,0,60,22,12,8,29,16,33,13,16,14,3,31,41.9,18,200,63,82,79,39,4,0,8,44,16,0,759,82,269,354,203,16,46.4,1699,19,2,17,11,8,9,6,12,13,0,0,77.1,124,4,5,12,60.0,0.0,5,2,46,2841,1.0,5,20.0,1,343,0
1.5,2.2,52,628,139,23,13,21,1.5,1.5,0.4,493,79.9,34,57,10,15,79.9,7554,2668,195,87.2,187,85.6,100,57.0,6,1,448,45,19,2,107,12,15,6,19,8,23,16,10,10,3,13,61.5,5,139,47,56,56,27,5,0,16,36,28,0,628,68,208,314,148,18,66.7,1231,16,3,15,14,14,19,6,15,16,0,0,57.1,83,3,5,6,60.0,0.0,7,4,34,2165,1.3,12,14.0,0,343,1
1.9,0.7,57,799,157,22,18,10,1.9,1.9,1.8,691,85.8,52,63,3,5,85.8,11664,3382,266,94.4,266,88.7,133,69.9,19,4,658,33,5,1,81,22,15,5,28,4,22,15,12,8,2,20,60.0,8,157,57,56,71,30,3,0,7,40,17,0,799,72,251,365,232,37,60.0,1678,20,5,16,6,5,6,6,15,15,0,0,56.1,88,1,1,5,100.0,0.0,5,2,52,2825,0.1,4,10.3,0,343,1
